,0,1
0,0.18360096,0.29127878
1,0.19433326,0.30201545
2,0.14221093,0.25220788
3,0.119959384,0.17282906
4,0.102336764,0.13882661
5,0.10244766,0.17542654
6,0.07299012,0.27123314
7,0.006417781,0.20956355
8,0.013792664,0.08620909
9,0.019998789,0.05947879
10,0.016324222,0.045746654
11,0.011584222,0.08037394
12,0.024495631,0.097548455
13,0.075939715,0.1775369
14,0.072425514,0.30112916
15,0.10062656,0.31661212
16,0.14794752,0.31532907
17,0.1577492,0.17472136
18,0.25177503,0.112942636
19,0.36005747,0.0844318
20,0.53115493,0.056772918
21,0.55573875,0.1057474
22,0.39651528,0.17736992
23,0.14156651,0.23265424
24,0.0846684,0.2691616
25,0.09188753,0.32066128
26,0.07042131,0.42022607
27,0.1300784,0.24947986
28,0.10170856,0.22057
29,0.12503302,0.47861412
30,0.06927341,0.5459652
31,0.11480835,0.2819397
32,0.044780016,0.10257694
33,0.053777963,0.07816365
34,0.06341666,0.104414165
35,0.04235193,0.23782992
36,0.046017796,0.36322787
37,0.11785814,0.34270597
38,0.1427029,0.42248228
39,0.22914484,0.47532648
40,0.406285,0.47047204
41,0.52952343,0.0505656
42,0.5392716,0.09077379
43,0.48670322,0.15373564
44,0.32544798,0.16678092
45,0.16006687,0.10035738
46,0.29770476,0.16687322
47,0.3745638,0.33771896
48,0.10317451,0.31843626
49,0.119513035,0.346074
50,0.17042825,0.43707564
51,0.16141307,0.53326267
52,0.15031627,0.53815836
53,0.15418717,0.54877365
54,0.15618977,0.41870263
55,0.06948069,0.15519056
56,0.07305896,0.105341405
57,0.08007172,0.15749064
58,0.091349214,0.26019835
59,0.096711814,0.4252379
60,0.17560029,0.3072091
61,0.16045815,0.13224828
62,0.18360096,0.29127878
63,0.5536829,0.26742828
64,0.14437243,0.12144831
65,0.16828224,0.4888593
66,0.09021425,0.098537326
67,0.09177828,0.44982988
68,0.18261254,0.3043664
69,0.21792036,0.21401146
70,0.15744519,0.21776462
71,0.59035534,0.2677901
72,0.048125327,0.17739797
73,0.5528262,0.19406605
74,0.2113154,0.15364003
75,0.09826395,0.32863736
76,0.22392169,0.44768646
77,0.17594364,0.4460863
78,0.21229526,0.23136935
79,0.49955738,0.37872374
80,0.12702149,0.3753322
81,0.38961348,0.47603256
82,0.23950088,0.4912525
83,0.048471987,0.35633665
84,0.07870346,0.21708807
85,0.4959273,0.18119946
86,0.035994142,0.24332842
87,0.03647074,0.3148305
88,0.05384147,0.122894615
89,0.14680964,0.32593024
90,0.12892777,0.12148464
